Agency_Name,Planned_Project_Completion_Date_B2,Projected_slash_Actual_Project_Completion_Date_B2,Project_isDelayed,Lifecycle_Cost,Start_Date
Department of Defense,04/04/2013,04/04/2013,0,105.57,01/10/2010
Department of Defense,31/03/2013,31/03/2013,0,74.641,01/10/2010
Department of Defense,30/03/2013,30/03/2013,0,54.591,01/10/2010
Department of Defense,01/07/2013,11/03/2013,-112,1022,01/10/2003
Department of Defense,01/03/2013,01/03/2013,0,11.994,01/10/2011
Department of Defense,14/02/2013,14/02/2013,0,81.551,01/10/2009
Department of Defense,31/12/2012,31/12/2012,0,32.67,15/01/2012
Department of Defense,30/12/2012,30/12/2012,0,25.371,01/10/2010
Department of Defense,15/11/2012,15/11/2012,0,180.1,15/05/2011
Department of Defense,22/02/2012,12/11/2012,264,1252.364,10/08/2009
Department of Defense,08/11/2012,08/11/2012,0,227.643,10/01/2008
Department of Defense,01/10/2012,01/10/2012,0,13.357,01/08/2011
Department of Defense,30/09/2012,30/09/2012,0,14.457,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,1361.265,24/06/2005
Department of Defense,30/09/2012,30/09/2012,0,70.297,03/10/2011
Department of Defense,30/09/2012,30/09/2012,0,32.921,03/10/2011
Department of Defense,30/09/2012,30/09/2012,0,4.668,19/09/2010
Department of Defense,30/09/2012,30/09/2012,0,754.895,15/12/2003
Department of Defense,30/09/2012,30/09/2012,0,8.45,30/06/2011
Department of Defense,30/09/2012,30/09/2012,0,41.248,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,41.487,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,19.483,01/06/2009
Department of Defense,30/09/2012,30/09/2012,0,0.546,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,17.695,01/10/2010
Department of Defense,30/09/2012,30/09/2012,0,495.518,01/10/2000
Department of Defense,30/09/2012,30/09/2012,0,35.566,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,35.566,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,3.899,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,5.394,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,16.571,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,0.36,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,3.212,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,18.032,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,24.563,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,28.34,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,7.086,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,7.982,18/04/2012
Department of Defense,30/09/2012,30/09/2012,0,2.862,18/04/2012
Department of Defense,30/09/2012,30/09/2012,0,1785.543,30/09/2000
Department of Defense,30/09/2012,30/09/2012,0,7.641,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,5.938,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,17.58,02/10/2011
Department of Defense,30/09/2012,30/09/2012,0,638.7,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,0.37,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,1.416,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,16.525,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,0.5,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,1.101,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,4.964,10/10/2011
Department of Defense,30/09/2012,30/09/2012,0,6.23,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,4.306,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,1.638,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,1.682,01/10/2011
Department of Defense,30/09/2012,30/09/2012,0,107.09,01/10/2010
Department of Defense,30/09/2012,30/09/2012,0,1193.941,01/10/2008
Department of Defense,30/09/2012,30/09/2012,0,2472.5,25/10/2002
Department of Defense,29/09/2012,29/09/2012,0,14.596,30/09/2010
Department of Defense,09/09/2012,28/09/2012,19,13.734,29/03/2011
Department of Defense,10/09/2012,28/09/2012,18,32.987,29/03/2011
Department of Defense,28/09/2012,28/09/2012,0,8.574,03/10/2011
Department of Defense,14/09/2012,14/09/2012,0,5.468,15/09/2011
Department of Defense,12/09/2012,12/09/2012,0,9.764,27/09/2011
Department of Defense,10/09/2012,10/09/2012,0,1.539,11/05/2011
Department of Defense,24/07/2012,24/07/2012,0,221.9,28/03/2006
Department of Defense,31/01/2012,12/07/2012,163,2.5,27/02/2009
Department of Defense,29/06/2012,29/06/2012,0,161.841,04/03/2010
Department of Defense,12/05/2012,12/05/2012,0,3.544,01/02/2010
Department of Defense,17/04/2012,17/04/2012,0,21.932,24/05/2010
Department of Defense,17/04/2012,17/04/2012,0,2.945,26/01/2012
Department of Defense,15/04/2012,15/04/2012,0,287.808,02/07/2007
Department of Defense,01/04/2012,01/04/2012,0,19.947,01/09/2008
Department of Defense,29/03/2012,29/03/2012,0,1.415,31/05/2011
Department of Defense,31/01/2012,31/01/2012,0,9.188,30/11/2010
Department of Defense,25/01/2012,25/01/2012,0,12.645,26/01/2011
Department of Defense,28/09/2012,01/12/2011,-302,0,01/11/2011
Department of Defense,24/11/2011,24/11/2011,0,3.888,01/03/2011
Department of Defense,15/10/2011,15/10/2011,0,134.182,30/09/2009
Department of Defense,31/10/2010,31/10/2010,0,5.254,01/10/2009
Department of Defense,,,,104,03/09/2012
Department of Defense,,,,367.2,01/08/2011
Department of Defense,,,,127.2,01/04/2010
Department of Defense,,,,1211.853,16/07/2004
Department of Defense,,,,503.471,29/07/2011
Department of Defense,,,,6462.761,15/12/2011
Department of Defense,,,,428.268,30/09/2009
Department of Defense,,,,5.716,03/10/2011
Department of Defense,,,,3.404,15/11/2011
Department of Defense,,,,12.117,01/01/2010
Department of Defense,,,,13.05,01/02/2009
Department of Defense,,,,40,18/10/2011
Department of Defense,,,,717.945,01/11/2007
Department of Defense,,,,37.845,01/10/2007
Department of Defense,,,,68.964,01/10/2008
Department of Defense,,,,16.924,01/10/2009
Department of Defense,,,,16.011,01/10/2008
Department of Defense,,,,112.442,01/10/2008
Department of Defense,,,,12.543,01/10/2008
Department of Defense,,,,137.526,08/09/2009
Department of Defense,,,,7.876,01/10/2011
Department of Defense,,,,122.393,01/10/2008
Department of Defense,,,,21.446,01/10/2010
Department of Defense,,,,825.103,11/02/2001
Department of Defense,,,,57.403,01/04/2011
Department of Defense,,,,70.052,01/04/2011
Department of Defense,,,,123.878,01/04/2011
Department of Defense,,,,0.619,01/10/2009
Department of Defense,,,,0.849,10/06/2010
Department of Defense,,,,5.961,30/12/2011
Department of Defense,,,,9.104,30/12/2011
Department of Defense,,,,6.183,30/12/2011
Department of Defense,,,,5.126,30/12/2011
Department of Defense,,,,5.322,31/01/2012
Department of Defense,,,,2.188,28/02/2012
Department of Defense,,,,27,31/01/2012
Department of Defense,,,,33.1,01/10/2011
Department of Defense,,,,17.6,01/10/2011
Department of Defense,,,,32.3,01/10/2011
Department of Defense,,,,53.4,01/10/2011
Department of Defense,,,,22,01/10/2011
Department of Defense,,,,3.047,01/10/2011
Department of Defense,,,,2.302,01/10/2011
Department of Defense,,,,21.76,30/09/2012
Department of Defense,,,,7.492,01/10/2010
Department of Defense,,,,6.223,01/12/2010
Department of Defense,,,,10.369,30/04/2012
Department of Defense,,,,20.881,01/01/2011
Department of Defense,,,,3.863,01/05/2012
Department of Defense,,,,10.368,01/08/2011
Department of Defense,,,,42.307,01/08/2010
Department of Defense,,,,21.271,01/10/2010
Department of Defense,,,,22.5,01/11/2011
Department of Defense,,,,1.5,30/09/2012
Department of Defense,,,,34.848,01/10/2011
Department of Defense,,,,924.731,13/02/2010
Department of Defense,,,,1.2,01/04/2012
Department of Defense,,,,203.192,01/10/2009
Department of Defense,,,,33.574,01/03/2011
Department of Defense,,,,2.595,01/01/2012
Department of Defense,,,,89.3,26/12/2006
Department of Defense,,,,23.4,28/02/2010
Department of Defense,,,,59.1,26/03/2012
Department of Defense,,,,554.696,30/09/2004
Department of Defense,,,,30,01/09/2011
Department of Defense,,,,30,10/06/2012
Department of Defense,,,,914.373,01/02/2010
Department of Defense,,,,1.85,16/09/2011
Department of Defense,,,,15.56,16/06/2011
Department of Defense,,,,3.99,02/04/2012
Department of Defense,,,,98.81,18/04/2012
Department of Defense,,,,5.542,20/07/2012
Department of Defense,,,,4153.75,12/10/2000
Department of Defense,,,,3.6,01/03/2010
Department of Defense,,,,6872.256,30/01/2002
Department of Defense,,,,209.5,15/01/2005
Department of Defense,,,,51.42,05/09/2010
Department of Defense,,,,8.869,03/01/2011
Department of Defense,,,,200.241,01/06/2008
Department of Defense,,,,41.615,03/01/2007
Department of Defense,,,,90.923,01/04/2009
Department of Defense,,,,84.986,01/09/2010
Department of Defense,,,,416.098,03/10/2011
Department of Defense,,,,155.198,01/10/2011
Department of Education,30/09/2012,31/12/2012,92,0.45,01/05/2012
Department of Education,30/09/2012,30/09/2012,0,0.667546,01/06/2011
Department of Education,30/09/2012,30/09/2012,0,1.381652,01/06/2012
Department of Education,30/09/2012,30/09/2012,0,0.009,01/10/2011
Department of Education,30/09/2012,30/09/2012,0,0.27,01/10/2011
Department of Education,30/09/2012,30/09/2012,0,0.971,01/10/2011
Department of Education,30/09/2012,30/09/2012,0,0.325712,01/10/2011
Department of Education,30/09/2012,30/09/2012,0,23.237,03/10/2011
Department of Education,31/08/2012,31/08/2012,0,1.34141,01/06/2011
Department of Education,31/08/2012,31/08/2012,0,0.348112,01/09/2011
Department of Education,31/08/2012,31/08/2012,0,0.040534,01/06/2012
Department of Education,30/06/2012,31/08/2012,62,0.051,26/09/2011
Department of Education,31/07/2012,31/07/2012,0,1.145,01/08/2011
Department of Education,13/07/2012,13/07/2012,0,1.173,03/10/2011
Department of Education,30/06/2012,30/06/2012,0,2.632703,01/02/2011
Department of Education,01/06/2012,25/06/2012,24,0.404,26/09/2011
Department of Education,16/11/2012,22/06/2012,-147,0.5,16/07/2012
Department of Education,06/04/2012,08/06/2012,63,6.214,01/04/2011
Department of Education,31/03/2012,31/03/2012,0,1.93,01/01/2011
Department of Education,02/03/2012,15/03/2012,13,2.5,04/04/2011
Department of Education,15/02/2012,15/02/2012,0,0.036,15/07/2011
Department of Education,30/12/2011,30/12/2011,0,136.24,12/09/2011
Department of Education,20/12/2011,18/12/2011,-2,0.367,02/08/2011
Department of Education,30/11/2011,30/11/2011,0,6.655,01/10/2010
Department of Education,,,,4.528542,15/03/2012
Department of Education,,,,8.862,24/03/2011
Department of Education,,,,1.834,06/09/2011
Department of Education,,,,0.098006,01/10/2011
Department of Education,,,,25654.96,27/09/2007
Department of Education,,,,4.460662,01/10/2009
Department of Education,,,,8.943187,25/09/2009
Department of Education,,,,0.572452,23/09/2010
Department of Education,,,,4.885288,01/10/2011
Department of Education,,,,0.503,26/09/2011
Department of Education,,,,1.3,15/06/2012
Department of Education,,,,2.292,01/02/2012
Department of Education,,,,0.3,29/02/2012
Department of Education,,,,1,01/01/2012
Department of Education,,,,6.466,26/03/2012
Department of Education,,,,2.5,04/04/2012
Department of Education,,,,5,15/06/2012
Department of Education,,,,9.5,01/03/2012
Department of Education,,,,0.25,15/06/2012
Department of Education,,,,0.1,01/04/2012
Department of Education,,,,0.1,16/07/2012
Department of Education,,,,1.4,04/09/2012
Department of Energy,31/12/2012,31/12/2012,0,1.5,01/01/2012
Department of Energy,15/10/2012,15/10/2012,0,1.064,01/07/2011
Department of Energy,30/09/2012,30/09/2012,0,0.687572,01/06/2012
Department of Energy,30/09/2012,30/09/2012,0,0.141,01/04/2012
Department of Energy,30/09/2012,30/09/2012,0,0.24,15/11/2011
Department of Energy,30/09/2012,30/09/2012,0,2.981459,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,44.690208,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,912.329792,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.65,01/01/2012
Department of Energy,30/09/2012,30/09/2012,0,0.36098,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.257,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.855,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,1.163,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,14.2664,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,8.344,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.125,01/10/2010
Department of Energy,30/09/2012,30/09/2012,0,0.0336,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,9.538389,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.06,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,32.389,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.0688,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,4.70953,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.208,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.05,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.248,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.05,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.33,01/10/2011
Department of Energy,30/09/2012,30/09/2012,0,0.02,01/10/2011
Department of Energy,15/12/2012,24/09/2012,-82,2.03,25/04/2011
Department of Energy,30/08/2012,30/08/2012,0,0.004,01/02/2012
Department of Energy,03/08/2012,22/08/2012,19,23.263029,10/09/2010
Department of Energy,30/06/2012,30/06/2012,0,0.08,01/01/2012
Department of Energy,30/06/2012,30/06/2012,0,0.171,01/10/2011
Department of Energy,02/05/2012,02/05/2012,0,0.6286,03/10/2011
Department of Energy,30/04/2012,30/04/2012,0,0.805,31/12/2011
Department of Energy,31/03/2012,30/03/2012,-1,0.181,01/10/2011
Department of Energy,01/03/2012,01/03/2012,0,0.0041,01/01/2012
Department of Energy,30/03/2012,26/01/2012,-64,0.05,02/01/2011
Department of Energy,29/02/2012,28/10/2011,-124,0.0035,03/10/2011
Department of Energy,08/11/2011,25/10/2011,-14,0.006,11/10/2011
Department of Energy,,,,0.65,01/08/2012
Department of Energy,,,,0.008,27/07/2012
Department of Energy,,,,217.331605,09/01/2009
Department of Energy,,,,3.466,02/06/2011
Department of Energy,,,,1.8,01/01/2012
Department of Energy,,,,1.47448,01/10/2011
Department of Energy,,,,0.65507,03/10/2011
Department of Energy,,,,0.2,03/10/2011
Department of Health and Human Services,09/11/2013,09/11/2013,0,2.4,21/12/2010
Department of Health and Human Services,14/12/2012,14/12/2012,0,0.944,26/03/2012
Department of Health and Human Services,01/10/2012,01/10/2012,0,5.034,28/01/2012
Department of Health and Human Services,30/09/2012,30/09/2012,0,0.454,01/05/2012
Department of Health and Human Services,30/09/2012,30/09/2012,0,0.473,01/06/2012
Department of Health and Human Services,30/09/2012,30/09/2012,0,0.505,18/01/2012
Department of Health and Human Services,30/09/2012,30/09/2012,0,65.007,30/04/2004
Department of Health and Human Services,29/09/2012,29/09/2012,0,1.496,01/09/2011
Department of Health and Human Services,13/09/2012,28/09/2012,15,4.56,27/05/2011
Department of Health and Human Services,01/09/2012,28/09/2012,27,0.208,01/03/2012
Department of Health and Human Services,28/09/2012,28/09/2012,0,0.18,12/07/2012
Department of Health and Human Services,28/09/2012,28/09/2012,0,1.9,01/07/2011
Department of Health and Human Services,28/09/2012,28/09/2012,0,0.899,03/10/2011
Department of Health and Human Services,28/09/2012,28/09/2012,0,0.785,01/06/2011
Department of Health and Human Services,25/09/2012,25/09/2012,0,1.255,01/07/2011
Department of Health and Human Services,14/09/2012,14/09/2012,0,0.169,01/07/2012
Department of Health and Human Services,14/09/2012,14/09/2012,0,0.213,11/06/2012
Department of Health and Human Services,14/09/2012,14/09/2012,0,0.138,11/06/2012
Department of Health and Human Services,11/09/2012,11/09/2012,0,2.085,12/09/2011
Department of Health and Human Services,07/09/2012,07/09/2012,0,0.731,01/11/2010
Department of Health and Human Services,31/08/2012,31/08/2012,0,0.575,30/03/2011
Department of Health and Human Services,20/09/2012,20/08/2012,-31,2.477,21/12/2010
Department of Health and Human Services,19/08/2012,19/08/2012,0,0.488,20/08/2011
Department of Health and Human Services,31/08/2012,06/08/2012,-25,0.44,01/02/2012
Department of Health and Human Services,01/08/2012,01/08/2012,0,0.13,01/03/2012
Department of Health and Human Services,30/07/2012,30/07/2012,0,2.41,17/01/2012
Department of Health and Human Services,27/07/2012,27/07/2012,0,1.515,01/07/2011
Department of Health and Human Services,15/07/2012,15/07/2012,0,0.33,17/01/2012
Department of Health and Human Services,13/07/2012,13/07/2012,0,0.332,27/04/2011
Department of Health and Human Services,02/07/2012,02/07/2012,0,5.034,21/10/2011
Department of Health and Human Services,01/07/2012,01/07/2012,0,80,30/07/2010
Department of Health and Human Services,30/06/2012,30/06/2012,0,0.072,01/02/2012
Department of Health and Human Services,30/06/2012,30/06/2012,0,1.163,30/09/2011
Department of Health and Human Services,31/05/2012,29/06/2012,29,0.26,05/01/2012
Department of Health and Human Services,13/07/2012,22/06/2012,-21,0.093,16/01/2012
Department of Health and Human Services,22/06/2012,22/06/2012,0,7.335,25/06/2011
Department of Health and Human Services,20/06/2012,20/06/2012,0,1.212,31/10/2011
Department of Health and Human Services,20/06/2012,20/06/2012,0,0.95,16/01/2012
Department of Health and Human Services,31/05/2012,18/06/2012,18,1.6,03/10/2011
Department of Health and Human Services,15/06/2012,15/06/2012,0,0.142,01/02/2012
Department of Health and Human Services,15/06/2012,15/06/2012,0,0.074,01/02/2012
Department of Health and Human Services,31/03/2012,31/05/2012,61,16.983,01/02/2011
Department of Health and Human Services,31/05/2012,31/05/2012,0,0.507,18/07/2011
Department of Health and Human Services,30/05/2012,30/05/2012,0,0.316,15/08/2011
Department of Health and Human Services,15/05/2012,15/05/2012,0,0.117,01/02/2012
Department of Health and Human Services,11/05/2012,11/05/2012,0,1.39,01/08/2011
Department of Health and Human Services,30/04/2012,30/04/2012,0,2.678,17/10/2011
Department of Health and Human Services,30/04/2012,30/04/2012,0,0.275,12/09/2011
Department of Health and Human Services,27/04/2012,27/04/2012,0,0.35,24/04/2011
Department of Health and Human Services,05/04/2012,05/04/2012,0,0.126,27/10/2011
Department of Health and Human Services,02/04/2012,02/04/2012,0,5.034,22/07/2011
Department of Health and Human Services,31/03/2012,31/03/2012,0,6.05,13/06/2011
Department of Health and Human Services,31/03/2012,31/03/2012,0,6,01/04/2011
Department of Health and Human Services,02/03/2012,02/03/2012,0,0.865,13/06/2011
Department of Health and Human Services,27/02/2012,02/03/2012,4,0.301,22/08/2011
Department of Health and Human Services,03/01/2012,02/03/2012,59,5.034,27/05/2011
Department of Health and Human Services,27/02/2012,27/02/2012,0,0.688,26/08/2011
Department of Health and Human Services,31/01/2012,21/02/2012,21,0.506,27/09/2010
Department of Health and Human Services,30/01/2012,13/02/2012,14,2.641,18/07/2011
Department of Health and Human Services,31/01/2012,03/02/2012,3,0.06,03/10/2011
Department of Health and Human Services,30/12/2011,31/01/2012,32,1.983,30/09/2010
Department of Health and Human Services,25/01/2012,25/01/2012,0,1.8,26/07/2011
Department of Health and Human Services,20/01/2012,20/01/2012,0,0.11,10/10/2011
Department of Health and Human Services,13/01/2012,13/01/2012,0,0.178,06/09/2011
Department of Health and Human Services,21/11/2011,09/01/2012,49,0.6,03/01/2011
Department of Health and Human Services,11/01/2012,31/12/2011,-11,1.644,22/07/2010
Department of Health and Human Services,31/12/2011,18/12/2011,-13,1,27/07/2011
Department of Health and Human Services,16/12/2011,16/12/2011,0,0.706,20/06/2011
Department of Health and Human Services,31/10/2011,30/11/2011,30,0.096,19/09/2011
Department of Health and Human Services,18/11/2011,18/11/2011,0,2.248,27/09/2010
Department of Health and Human Services,26/09/2011,09/11/2011,44,1.294,27/09/2010
Department of Health and Human Services,24/10/2011,31/10/2011,7,0.584,02/06/2011
Department of Health and Human Services,10/10/2011,10/10/2011,0,6.54,04/03/2011
Department of Health and Human Services,07/10/2011,07/10/2011,0,0.043,05/07/2011
Department of Health and Human Services,07/10/2011,03/10/2011,-4,2.412,18/04/2011
Department of Health and Human Services,31/01/2012,30/09/2011,-123,0.194,27/09/2010
Department of Health and Human Services,30/09/2011,30/09/2011,0,4.856,04/08/2011
Department of Health and Human Services,30/09/2011,30/09/2011,0,0.334,01/10/2009
Department of Health and Human Services,28/09/2011,28/09/2011,0,0.677,29/09/2010
Department of Health and Human Services,26/09/2011,26/09/2011,0,2.742,27/09/2010
Department of Health and Human Services,23/09/2011,23/09/2011,0,0.147,27/09/2010
Department of Health and Human Services,20/09/2011,20/09/2011,0,0.394,08/07/2011
Department of Health and Human Services,12/09/2011,14/09/2011,2,0.08,15/09/2010
Department of Health and Human Services,14/09/2011,14/09/2011,0,0.364,15/09/2010
Department of Health and Human Services,12/09/2011,12/09/2011,0,0.628,15/09/2010
Department of Health and Human Services,07/09/2011,07/09/2011,0,5.192,08/09/2010
Department of Health and Human Services,06/09/2011,06/09/2011,0,0.253,15/09/2010
Department of Health and Human Services,30/06/2011,31/08/2011,62,0.332,23/02/2011
Department of Health and Human Services,31/08/2011,31/08/2011,0,0.491,01/09/2010
Department of Health and Human Services,30/08/2011,31/08/2011,1,0.116,15/06/2011
Department of Health and Human Services,26/08/2011,26/08/2011,0,0.786,01/07/2009
Department of Health and Human Services,16/08/2011,16/08/2011,0,0.823,23/02/2011
Department of Health and Human Services,31/07/2011,31/07/2011,0,1.359,27/09/2010
Department of Health and Human Services,14/07/2011,14/07/2011,0,0.079,15/09/2010
Department of Health and Human Services,29/07/2011,12/07/2011,-17,0.315,15/12/2010
Department of Health and Human Services,01/07/2011,01/07/2011,0,0.12,01/03/2011
Department of Health and Human Services,28/06/2011,28/06/2011,0,0.93,13/04/2011
Department of Health and Human Services,28/06/2011,28/06/2011,0,0.051,22/04/2011
Department of Health and Human Services,27/06/2011,27/06/2011,0,0.253,10/12/2010
Department of Health and Human Services,18/07/2011,23/06/2011,-25,0.343,13/12/2010
Department of Health and Human Services,31/05/2011,31/05/2011,0,0.075,16/03/2011
Department of Health and Human Services,12/04/2011,12/04/2011,0,0.93,16/02/2011
Department of Health and Human Services,12/04/2011,12/04/2011,0,1.2,14/02/2011
Department of Health and Human Services,31/03/2011,31/03/2011,0,0.198,22/10/2010
Department of Health and Human Services,25/03/2011,25/03/2011,0,0.037,15/09/2010
Department of Health and Human Services,03/01/2011,03/01/2011,0,0.497,15/09/2010
Department of Health and Human Services,03/01/2011,03/01/2011,0,0.028,01/10/2010
Department of Health and Human Services,29/10/2010,29/10/2010,0,0.066,15/09/2010
Department of Health and Human Services,,,,0.12,01/07/2012
Department of Health and Human Services,,,,0.084,01/04/2012
Department of Health and Human Services,,,,12.144,16/03/2010
Department of Health and Human Services,,,,9,01/02/2009
Department of Health and Human Services,,,,8.175,01/10/2010
Department of Health and Human Services,,,,13.206,07/06/2010
Department of Health and Human Services,,,,3.75,22/08/2011
Department of Health and Human Services,,,,3.905,01/04/2011
Department of Health and Human Services,,,,4.237,01/02/2013
Department of Health and Human Services,,,,9.199,01/03/2012
Department of Health and Human Services,,,,10.95,30/09/2011
Department of Health and Human Services,,,,6.475,30/09/2011
Department of Health and Human Services,,,,5.84,01/06/2011
Department of Health and Human Services,,,,3.57,01/06/2011
Department of Health and Human Services,,,,1.455,09/09/2010
Department of Health and Human Services,,,,2.674,02/06/2010
Department of Health and Human Services,,,,0.6,08/11/2010
Department of Health and Human Services,,,,0.6,25/07/2011
Department of Health and Human Services,,,,2.12,01/10/2011
Department of Health and Human Services,,,,0.94,21/07/2011
Department of Health and Human Services,,,,1.16,10/10/2011
Department of Health and Human Services,,,,0.441,20/10/2010
Department of Health and Human Services,,,,0.258,04/04/2012
Department of Health and Human Services,,,,0.314,10/10/2011
Department of Health and Human Services,,,,0.499,28/10/2011
Department of Health and Human Services,,,,2.538,01/10/2011
Department of Health and Human Services,,,,0.65,16/08/2011
Department of Health and Human Services,,,,2.5,01/10/2011
Department of Health and Human Services,,,,4,01/04/2012
Department of Health and Human Services,,,,7.558,02/11/2011
Department of Health and Human Services,,,,0.6,28/09/2011
Department of Health and Human Services,,,,0.292,01/06/2011
Department of Health and Human Services,,,,0.662,15/06/2011
Department of Health and Human Services,,,,1.365,28/09/2011
Department of Health and Human Services,,,,0.42,30/09/2011
Department of Health and Human Services,,,,1.435,01/08/2011
Department of Health and Human Services,,,,8.417,01/09/2010
Department of Health and Human Services,,,,95.907,31/08/2004
Department of Health and Human Services,,,,11.168,01/03/2005
Department of Health and Human Services,,,,0.58,20/10/2010
Department of Health and Human Services,,,,6.845,03/08/2009
Department of Health and Human Services,,,,11.602,01/07/2005
Department of Health and Human Services,,,,1.288,01/05/2010
Department of Health and Human Services,,,,22.241,14/04/2008
Department of Health and Human Services,,,,0.45,02/01/2012
Department of Health and Human Services,,,,42.053,01/09/2011
Department of Health and Human Services,,,,2.369,16/04/2012
Department of Health and Human Services,,,,2.891,06/08/2012
Department of Health and Human Services,,,,2.02,29/09/2011
Department of Health and Human Services,,,,2.063,01/10/2012
Department of Health and Human Services,,,,45.017,01/04/2009
Department of Health and Human Services,,,,9.056,01/10/2010
Department of Health and Human Services,,,,2.755,02/07/2012
Department of Health and Human Services,,,,1.635,12/09/2011
Department of Health and Human Services,,,,0.582,12/09/2011
Department of Health and Human Services,,,,3.34,27/09/2010
Department of Health and Human Services,,,,4.917,08/09/2011
Department of Health and Human Services,,,,1.259,08/09/2011
Department of Health and Human Services,,,,1.115,23/09/2011
Department of Health and Human Services,,,,6.837,23/09/2011
Department of Health and Human Services,,,,4.376,23/09/2011
Department of Health and Human Services,,,,3.585,24/08/2011
Department of Health and Human Services,,,,2.259,27/09/2011
Department of Health and Human Services,,,,1.502,29/02/2012
Department of Health and Human Services,,,,0.546,30/03/2012
Department of Health and Human Services,,,,1.155,30/03/2012
Department of Health and Human Services,,,,0.55,12/09/2011
Department of Health and Human Services,,,,6.728,12/09/2011
Department of Health and Human Services,,,,2.876,22/07/2011
Department of Health and Human Services,,,,0.509,19/09/2011
Department of Health and Human Services,,,,127.127,01/09/2002
Department of Health and Human Services,,,,38.737,15/08/2004
Department of Health and Human Services,,,,24.113,01/10/2007
Department of Health and Human Services,,,,150.314,01/12/2004
Department of Health and Human Services,,,,12.478,21/09/2009
Department of Health and Human Services,,,,13.464,01/10/2008
Department of Health and Human Services,,,,2.281,16/09/2011
Department of Health and Human Services,,,,1.011,06/09/2011
Department of Health and Human Services,,,,1.836,01/06/2011
Department of Health and Human Services,,,,0.854,01/04/2011
Department of Health and Human Services,,,,1.474,01/06/2011
Department of Health and Human Services,,,,0.229,01/06/2011
Department of Health and Human Services,,,,7.951,01/03/2011
Department of Health and Human Services,,,,1.893,01/09/2010
Department of Health and Human Services,,,,20.108,01/06/2009
Department of Health and Human Services,,,,26.17,01/10/2009
Department of Health and Human Services,,,,45.43,01/01/2009
Department of Health and Human Services,,,,17.594,01/01/2010
Department of Health and Human Services,,,,8.76,01/04/2012
Department of Health and Human Services,,,,20.164,07/05/2012
Department of Health and Human Services,,,,6.558,23/04/2012
Department of Health and Human Services,,,,0.5,01/10/2011
Department of Health and Human Services,,,,1.668,01/03/2012
Department of Health and Human Services,,,,249.327,01/10/2011
Department of Health and Human Services,,,,267.005,01/10/2011
Department of Health and Human Services,,,,303,01/10/2011
Department of Health and Human Services,,,,1.075,01/07/2011
Department of Health and Human Services,,,,2.15,01/07/2011
Department of Health and Human Services,,,,0.702,01/07/2011
Department of Health and Human Services,,,,0.826,03/10/2011
Department of Health and Human Services,,,,170,01/07/2011
Department of Health and Human Services,,,,27,08/07/2011
Department of Health and Human Services,,,,26.03,10/03/2012
Department of Health and Human Services,,,,53.04,10/03/2012
